dataAvgSalary62k,Location,Headquarters,Size,Type_of_ownership,Industry,Sector,Revenue,Rating_range,Found_year_range
lower_than_avg,"Burlingame,_KS","Burlingame,_CA",1_to_50_employees,Company___Private,Computer_Hardware_&_Software,Information_Technology,$1_to_$5_million_(USD),Rate[3.5_3.9],Founded_2015_2019
lower_than_avg,"Indianapolis,_IN","San_Francisco,_CA",51_to_200_employees,Company___Private,Internet,Information_Technology,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2015_2019
lower_than_avg,"New_York,_NY","New_York,_NY",1_to_50_employees,Company___Private,Internet,Information_Technology,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2015_2019
higher_than_avg,"Chicago,_IL","Chicago,_IL",51_to_200_employees,Company___Private,Video_Games,Media,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2015_2019
higher_than_avg,"New_York,_NY","New_York,_NY",51_to_200_employees,Company___Private,Brokerage_Services,Finance,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2015_2019
higher_than_avg,"Farmers_Branch,_TX","Ann_Arbor,_MI",1001_to_5000_employees,Company___Private,Lending,Finance,Unknown_/_Non_Applicable,Rate[3.0_3.4],Founded_2015_2019
higher_than_avg,"Chicago,_IL","Chicago,_IL",501_to_1000_employees,Company___Private,Biotech_&_Pharmaceuticals,Biotech_&_Pharmaceuticals,Unknown_/_Non_Applicable,Rate[3.0_3.4],Founded_2015_2019
higher_than_avg,"Woodridge,_IL","Atlanta,_GA",10000+_employees,Company___Public,Miscellaneous_Manufacturing,Manufacturing,$10+_billion_(USD),Rate[3.0_3.4],Founded_2015_2019
higher_than_avg,"Chicago,_IL","Chicago,_IL",501_to_1000_employees,Company___Private,Biotech_&_Pharmaceuticals,Biotech_&_Pharmaceuticals,Unknown_/_Non_Applicable,Rate[3.0_3.4],Founded_2015_2019
lower_than_avg,"King_of_Prussia,_PA","Whippany,_NJ",1001_to_5000_employees,Company___Private,Biotech_&_Pharmaceuticals,Biotech_&_Pharmaceuticals,Unknown_/_Non_Applicable,Rate[3.0_3.4],Founded_2015_2019
higher_than_avg,"New_York,_NY","New_York,_NY",1_to_50_employees,Company___Private,Internet,Information_Technology,Unknown_/_Non_Applicable,Rate[2.5_2.9,Founded_2015_2019
lower_than_avg,"New_York,_NY","New_York,_NY",1_to_50_employees,Company___Private,Internet,Information_Technology,Unknown_/_Non_Applicable,Rate[2.5_2.9,Founded_2015_2019
lower_than_avg,"Cedar_Park,_TX","Cedar_Park,_TX",1_to_50_employees,Company___Private,Trucking,Transportation_&_Logistics,Unknown_/_Non_Applicable,Rate[2.5_2.9,Founded_2015_2019
higher_than_avg,"Redwood_City,_CA","Redwood_City,_CA",1_to_50_employees,Company___Private,"Health,_Beauty,_&_Fitness",Consumer_Services,Unknown_/_Non_Applicable,Rate[2.0_2.4],Founded_2015_2019
lower_than_avg,"Austin,_TX","Austin,_TX",1_to_50_employees,Company___Private,Computer_Hardware_&_Software,Information_Technology,Unknown_/_Non_Applicable,Rate[1.5_1.9],Founded_2015_2019
higher_than_avg,"San_Antonio,_TX","San_Antonio,_TX",1_to_50_employees,Company___Private,IT_Services,Information_Technology,Unknown_/_Non_Applicable,_1,Founded_2015_2019
higher_than_avg,"Oakland,_CA","Oakland,_CA",51_to_200_employees,Company___Private,Enterprise_Software_&_Network_Solutions,Information_Technology,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2010_2014
higher_than_avg,"Los_Angeles,_CA","New_York,_NY",1_to_50_employees,Company___Private,Enterprise_Software_&_Network_Solutions,Information_Technology,$1_to_$5_million_(USD),Rate[4.5_5.0],Founded_2010_2014
higher_than_avg,"New_York,_NY","New_York,_NY",1_to_50_employees,Company___Private,Staffing_&_Outsourcing,Business_Services,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2010_2014
higher_than_avg,"San_Diego,_CA","La_Jolla,_CA",51_to_200_employees,Company___Private,Staffing_&_Outsourcing,Business_Services,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2010_2014
higher_than_avg,"Chicago,_IL","Chicago,_IL",51_to_200_employees,Company___Private,Lending,Finance,$50_to_$100_million_(USD),Rate[4.5_5.0],Founded_2010_2014
higher_than_avg,"San_Francisco,_CA","San_Francisco,_CA",1_to_50_employees,Company___Private,Advertising_&_Marketing,Business_Services,$10_to_$25_million_(USD),Rate[4.5_5.0],Founded_2010_2014
lower_than_avg,"Northbrook,_IL","Houston,_TX",1_to_50_employees,Company___Private,Staffing_&_Outsourcing,Business_Services,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2010_2014
lower_than_avg,"Houston,_TX","Houston,_TX",1_to_50_employees,Company___Private,Staffing_&_Outsourcing,Business_Services,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2010_2014
higher_than_avg,"Glendale,_CA","Glendale,_CA",51_to_200_employees,Company___Private,Research_&_Development,Business_Services,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2010_2014
lower_than_avg,"Austin,_TX","Austin,_TX",51_to_200_employees,Company___Private,Colleges_&_Universities,Education,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2010_2014
higher_than_avg,"San_Francisco,_CA","San_Francisco,_CA",201_to_500_employees,Company___Private,Health_Care_Services_&_Hospitals,Health_Care,$50_to_$100_million_(USD),Rate[4.0_4.4],Founded_2010_2014
higher_than_avg,"Emeryville,_CA","Emeryville,_CA",51_to_200_employees,Company___Private,Biotech_&_Pharmaceuticals,Biotech_&_Pharmaceuticals,Unknown_/_Non_Applicable,Rate[4.0_4.4],Founded_2010_2014
higher_than_avg,"San_Francisco,_CA","San_Francisco,_CA",201_to_500_employees,Company___Private,Health_Care_Services_&_Hospitals,Health_Care,$50_to_$100_million_(USD),Rate[4.0_4.4],Founded_2010_2014
higher_than_avg,"Los_Angeles,_CA","Culver_City,_CA",51_to_200_employees,Company___Private,Enterprise_Software_&_Network_Solutions,Information_Technology,Unknown_/_Non_Applicable,Rate[4.0_4.4],Founded_2010_2014
lower_than_avg,"West_Conshohocken,_PA","West_Conshohocken,_PA",51_to_200_employees,Company___Private,Health_Care_Services_&_Hospitals,Health_Care,Unknown_/_Non_Applicable,Rate[4.0_4.4],Founded_2010_2014
higher_than_avg,"San_Francisco,_CA","San_Francisco,_CA",51_to_200_employees,Company___Private,Financial_Transaction_Processing,Finance,$1_to_$5_million_(USD),Rate[4.0_4.4],Founded_2010_2014
lower_than_avg,"San_Antonio,_TX","San_Antonio,_TX",501_to_1000_employees,Company___Private,Vehicle_Dealers,Retail,Unknown_/_Non_Applicable,Rate[4.0_4.4],Founded_2010_2014
higher_than_avg,"Los_Angeles,_CA","Los_Angeles,_CA",1_to_50_employees,Company___Private,Internet,Information_Technology,Unknown_/_Non_Applicable,Rate[4.0_4.4],Founded_2010_2014
lower_than_avg,"Los_Angeles,_CA","Los_Angeles,_CA",1_to_50_employees,Company___Private,Internet,Information_Technology,Unknown_/_Non_Applicable,Rate[4.0_4.4],Founded_2010_2014
lower_than_avg,"New_York,_NY","Stamford,_CT",1001_to_5000_employees,Company___Private,Investment_Banking_&_Asset_Management,Finance,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2010_2014
higher_than_avg,"Milpitas,_CA","Milpitas,_CA",501_to_1000_employees,Company___Private,Enterprise_Software_&_Network_Solutions,Information_Technology,$50_to_$100_million_(USD),Rate[3.5_3.9],Founded_2010_2014
higher_than_avg,"Milpitas,_CA","Milpitas,_CA",501_to_1000_employees,Company___Private,Enterprise_Software_&_Network_Solutions,Information_Technology,$50_to_$100_million_(USD),Rate[3.5_3.9],Founded_2010_2014
higher_than_avg,"San_Francisco,_CA","Mountain_View,_CA",51_to_200_employees,Company___Private,IT_Services,Information_Technology,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2010_2014
lower_than_avg,"Hampton,_VA","Fort_Monroe,_VA",51_to_200_employees,Company___Private,Staffing_&_Outsourcing,Business_Services,$5_to_$10_million_(USD),Rate[3.5_3.9],Founded_2010_2014
higher_than_avg,"San_Francisco,_CA","San_Francisco,_CA",51_to_200_employees,Company___Private,Health_Care_Services_&_Hospitals,Health_Care,Unknown_/_Non_Applicable,Rate[3.0_3.4],Founded_2010_2014
lower_than_avg,"Indianapolis,_IN","Wilmington,_DE",5001_to_10000_employees,Company___Public,Financial_Transaction_Processing,Finance,$2_to_$5_billion_(USD),Rate[3.0_3.4],Founded_2010_2014
higher_than_avg,"Palo_Alto,_CA","Palo_Alto,_CA",1001_to_5000_employees,Company___Private,Consumer_Electronics_&_Appliances_Stores,Retail,Unknown_/_Non_Applicable,Rate[3.0_3.4],Founded_2010_2014
higher_than_avg,"San_Mateo,_CA","San_Mateo,_CA",201_to_500_employees,Company___Private,Health_Care_Services_&_Hospitals,Health_Care,Unknown_/_Non_Applicable,Rate[2.5_2.9,Founded_2010_2014
lower_than_avg,"Austin,_TX","New_York,_NY",201_to_500_employees,Subsidiary_or_Business_Segment,Advertising_&_Marketing,Business_Services,Unknown_/_Non_Applicable,Rate[2.5_2.9,Founded_2010_2014
higher_than_avg,"Chicago,_IL","Singapore,_Singapore",1_to_50_employees,Company___Private,Enterprise_Software_&_Network_Solutions,Information_Technology,Unknown_/_Non_Applicable,_1,Founded_2010_2014
higher_than_avg,"Chicago,_IL","Singapore,_Singapore",1_to_50_employees,Company___Private,Enterprise_Software_&_Network_Solutions,Information_Technology,Unknown_/_Non_Applicable,_1,Founded_2010_2014
higher_than_avg,"Santa_Monica,_CA","San_Mateo,_CA",1_to_50_employees,Company___Private,Staffing_&_Outsourcing,Business_Services,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2010_2014
higher_than_avg,"San_Francisco,_CA","San_Francisco,_CA",201_to_500_employees,Company___Private,Banks_&_Credit_Unions,Finance,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2010_2014
lower_than_avg,"San_Francisco,_CA","San_Francisco,_CA",201_to_500_employees,Company___Private,Banks_&_Credit_Unions,Finance,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2010_2014
higher_than_avg,"San_Francisco,_CA","San_Francisco,_CA",201_to_500_employees,Company___Private,Banks_&_Credit_Unions,Finance,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2010_2014
higher_than_avg,"Menlo_Park,_CA","Menlo_Park,_CA",501_to_1000_employees,Company___Private,Brokerage_Services,Finance,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2010_2014
lower_than_avg,"Philadelphia,_PA","Philadelphia,_PA",1_to_50_employees,Company___Private,Enterprise_Software_&_Network_Solutions,Information_Technology,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2010_2014
higher_than_avg,"San_Diego,_CA","San_Diego,_CA",51_to_200_employees,Company___Private,Computer_Hardware_&_Software,Information_Technology,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2010_2014
higher_than_avg,"San_Jose,_CA","Irving,_TX",1_to_50_employees,Company___Private,Enterprise_Software_&_Network_Solutions,Information_Technology,$1_to_$5_million_(USD),Rate[4.5_5.0],Founded_2010_2014
higher_than_avg,"San_Francisco,_CA","San_Francisco,_CA",501_to_1000_employees,Company___Private,Internet,Information_Technology,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2010_2014
lower_than_avg,"Irving,_TX","Irving,_TX",1_to_50_employees,Company___Private,Enterprise_Software_&_Network_Solutions,Information_Technology,$1_to_$5_million_(USD),Rate[4.5_5.0],Founded_2010_2014
higher_than_avg,"New_York,_NY","New_York,_NY",501_to_1000_employees,Company___Private,Research_&_Development,Business_Services,Unknown_/_Non_Applicable,Rate[4.0_4.4],Founded_2010_2014
