dataAvgSalary62k,Location,Headquarters,Size,Type_of_ownership,Industry,Sector,Revenue,Rating_range,Found_year_range
higher-than-avg,"Santa Clara, CA","Houston, TX",51 to 200 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,Rate[4.0-4.4],Founded 2015-2019
higher-than-avg,"Santa Clara, CA","Houston, TX",51 to 200 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,Rate[4.0-4.4],Founded 2015-2019
higher-than-avg,"Denver, CO","Denver, CO",51 to 200 employees,Company - Private,"Hotels, Motels, & Resorts",Travel & Tourism,Unknown / Non-Applicable,Rate[4.0-4.4],Founded 2015-2019
higher-than-avg,"Austin, TX","Gainesville, VA",1 to 50 employees,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2015-2019
higher-than-avg,"Burlingame, CA","Burlingame, CA",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),Rate[3.5-3.9],Founded 2015-2019
lower-than-avg,"South San Francisco, CA","Pleasant Hill, CA",51 to 200 employees,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2015-2019
lower-than-avg,"Foster City, CA","Pleasant Hill, CA",51 to 200 employees,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2015-2019
lower-than-avg,"New York, NY","New York, NY",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2015-2019
lower-than-avg,"Burlingame, KS","Burlingame, CA",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),Rate[3.5-3.9],Founded 2015-2019
lower-than-avg,"Indianapolis, IN","San Francisco, CA",51 to 200 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2015-2019
lower-than-avg,"New York, NY","New York, NY",1 to 50 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2015-2019
higher-than-avg,"Chicago, IL","Chicago, IL",51 to 200 employees,Company - Private,Video Games,Media,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2015-2019
higher-than-avg,"New York, NY","New York, NY",51 to 200 employees,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2015-2019
