Location = Location,Headquarters = Headquarters,Size,Type of ownership,Industry,Sector,Revenue,Easy Apply,Rating range,Found year range,Senior,Competitors,Compare to avg salary 62k
"Location = Los Angeles, CA","Headquarters = Los Angeles, CA",1 to 50 employees,Company - Public,Real Estate,Real Estate,-1,-1,Rate[3.5-3.9],Founded 2015-2019,IsNotSenior,-1,salary_lower_than_avg
"Location = Redmond, WA","Headquarters = Hyderabad, India",1001 to 5000 employees,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1,Rate[3.5-3.9],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Charlotte, NC","Headquarters = Plano, TX",501 to 1000 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,Rate[3.5-3.9],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Jersey City, NJ","Headquarters = Phoenix, AZ",1001 to 5000 employees,Company - Private,Brokerage Services,Finance,$1 to $5 million (USD),-1,Rate[3.0-3.4],Founded 2015-2019,IsNotSenior,-1,salary_lower_than_avg
"Location = San Francisco, CA","Headquarters = San Francisco, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,-1,-1,Rate[3.0-3.4],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Norfolk, VA","Headquarters = Reston, VA",51 to 200 employees,Company - Private,Consulting,Business Services,-1,-1,Rate[4.5-5.0],Founded 2015-2019,IsSenior,-1,salary_higher_than_avg
"Location = Norfolk, VA","Headquarters = Reston, VA",51 to 200 employees,Company - Private,Consulting,Business Services,-1,-1,Rate[4.5-5.0],Founded 2015-2019,IsSenior,-1,salary_lower_than_avg
"Location = Dallas, TX","Headquarters = Dallas, TX",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,-1,-1,Rate[4.5-5.0],Founded 2015-2019,IsNotSenior,-1,salary_lower_than_avg
"Location = Los Angeles, CA","Headquarters = Los Angeles, CA",51 to 200 employees,Subsidiary or Business Segment,Colleges & Universities,Education,-1,-1,Rate[4.5-5.0],Founded 2015-2019,IsSenior,"Chegg, Tutor.com, Smarthinking",salary_higher_than_avg
"Location = Santa Clara, CA","Headquarters = Houston, TX",51 to 200 employees,Company - Private,IT Services,Information Technology,-1,-1,Rate[4.0-4.4],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Santa Clara, CA","Headquarters = Houston, TX",51 to 200 employees,Company - Private,IT Services,Information Technology,-1,-1,Rate[4.0-4.4],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Denver, CO","Headquarters = Denver, CO",51 to 200 employees,Company - Private,"Hotels, Motels, & Resorts",Travel & Tourism,-1,-1,Rate[4.0-4.4],Founded 2015-2019,IsNotSenior,-1,salary_lower_than_avg
"Location = Austin, TX","Headquarters = Gainesville, VA",1 to 50 employees,Company - Private,Consulting,Business Services,-1,-1,Rate[3.5-3.9],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Burlingame, CA","Headquarters = Burlingame, CA",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),-1,Rate[3.5-3.9],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = South San Francisco, CA","Headquarters = Pleasant Hill, CA",51 to 200 employees,Company - Private,Research & Development,Business Services,-1,-1,Rate[3.5-3.9],Founded 2015-2019,IsNotSenior,-1,salary_lower_than_avg
"Location = Foster City, CA","Headquarters = Pleasant Hill, CA",51 to 200 employees,Company - Private,Research & Development,Business Services,-1,-1,Rate[3.5-3.9],Founded 2015-2019,IsNotSenior,-1,salary_lower_than_avg
